"keyName","value","prob","cont_prob"
"arcane meaningless regulation",1,8.78040214241812e-05,3.25
"meaningless regulation among",1,8.78040214241812e-05,3.25
"us code ignorance",1,8.78040214241812e-05,3.25
"weeks various people",1,8.78040214241812e-05,3.25
"various people just",1,8.78040214241812e-05,3.25
"looked almost zombie",1,8.78040214241812e-05,3.25
"almost zombie like",1,8.78040214241812e-05,3.25
"zombie like blank",1,8.78040214241812e-05,3.25
"like blank stares",1,8.78040214241812e-05,3.25
"blank stares just",1,8.78040214241812e-05,3.25
"stares just leaving",1,8.78040214241812e-05,3.25
"blank facial expressions",1,8.78040214241812e-05,3.25
"older children along",1,8.78040214241812e-05,3.25
"children along side",1,8.78040214241812e-05,3.25
"josef strauss delirien",1,8.78040214241812e-05,3.25
"strauss delirien waltz",1,8.78040214241812e-05,3.25
"blog site listed",1,8.78040214241812e-05,3.25
"sister mallory castle",1,8.78040214241812e-05,3.25
"glass fucking door",1,8.78040214241812e-05,3.25
"dressed appropriately just",1,8.78040214241812e-05,3.25
"inside front door",1,8.78040214241812e-05,3.25
"really anything outrageous",1,8.78040214241812e-05,3.25
"poet something new",1,8.78040214241812e-05,3.25
"steam moving upon",1,8.78040214241812e-05,3.25
"god moved upon",1,8.78040214241812e-05,3.25
"betty page videos",1,8.78040214241812e-05,3.25
"ving rhames bruce",1,8.78040214241812e-05,3.25
"rhames bruce willis",1,8.78040214241812e-05,3.25
"takes pulp fiction",1,8.78040214241812e-05,3.25
"call pulp fiction's",1,8.78040214241812e-05,3.25
"pulp fiction's indie",1,8.78040214241812e-05,3.25
"fiction's indie crime",1,8.78040214241812e-05,3.25
"indie crime thriller",1,8.78040214241812e-05,3.25
"crime thriller properly",1,8.78040214241812e-05,3.25
"thriller properly mainstream",1,8.78040214241812e-05,3.25
"properly mainstream still",1,8.78040214241812e-05,3.25
"mainstream still pulp",1,8.78040214241812e-05,3.25
"still pulp fiction",1,8.78040214241812e-05,3.25
"pulp fiction spoofs",1,8.78040214241812e-05,3.25
"fiction spoofs aside",1,8.78040214241812e-05,3.25
"occasional horror flick",1,8.78040214241812e-05,3.25
"horror flick namely",1,8.78040214241812e-05,3.25
"flick namely shit",1,8.78040214241812e-05,3.25
"namely shit like",1,8.78040214241812e-05,3.25
"shit like candyman",1,8.78040214241812e-05,3.25
"blair got divorced",1,8.78040214241812e-05,3.25
"lyla garrity minka",1,8.78040214241812e-05,3.25
"garrity minka kelly",1,8.78040214241812e-05,3.25
"minka kelly cheerleader",1,8.78040214241812e-05,3.25
"starting quarterback jason",1,8.78040214241812e-05,3.25
"quarterback jason street",1,8.78040214241812e-05,3.25
"closest natural satellite",1,8.78040214241812e-05,3.25
"relationship henry said",1,8.78040214241812e-05,3.25
"never seemed like",1,8.78040214241812e-05,3.25
"never saw anything",1,8.78040214241812e-05,3.25
"atlanta journal constitution",1,8.78040214241812e-05,3.25
"journal constitution reported",1,8.78040214241812e-05,3.25
"jeep passport inside",1,8.78040214241812e-05,3.25
"double lot hilarious",1,8.78040214241812e-05,3.25
"lot hilarious yes",1,8.78040214241812e-05,3.25
"hilarious yes darling",1,8.78040214241812e-05,3.25
"built two actually",1,8.78040214241812e-05,3.25
"white doll instead",1,8.78040214241812e-05,3.25
"leaving empty handed",1,8.78040214241812e-05,3.25
"obviously understand something",1,8.78040214241812e-05,3.25
"notebooks every now",1,8.78040214241812e-05,3.25
"obviously missing something",1,8.78040214241812e-05,3.25
"something important though",1,8.78040214241812e-05,3.25
"chicken breasts cooked",1,8.78040214241812e-05,3.25
"breasts cooked shredded",1,8.78040214241812e-05,3.25
"cinemark holdings inc",1,8.78040214241812e-05,3.25
"presenting one night",1,8.78040214241812e-05,3.25
"reel classics series",1,8.78040214241812e-05,3.25
"wednesday may go",1,8.78040214241812e-05,3.25
"cinemark web site",1,8.78040214241812e-05,3.25
"wings reel classics",1,8.78040214241812e-05,3.25
"reel classics box",1,8.78040214241812e-05,3.25
"participating cinemark theater",1,8.78040214241812e-05,3.25
"cinemark theater near",1,8.78040214241812e-05,3.25
"may know extraneous",1,8.78040214241812e-05,3.25
"know extraneous details",1,8.78040214241812e-05,3.25
"love sharing great",1,8.78040214241812e-05,3.25
"sharing great stories",1,8.78040214241812e-05,3.25
"second disc includes",1,8.78040214241812e-05,3.25
"disc includes lumet",1,8.78040214241812e-05,3.25
